UT,TI,AU,PY,SO,DE,AB,DI
WOS:001590929100004,ACPAS: an expert-assistance system for authenticating ancient Chinese,"Chen, XJ",2025,NPJ HERITAGE SCIENCE,,,10.1038/s40494-025-02093-z
WOS:001278997600001,Extractive Question Answering Over Ancient Scriptures Texts Using,"Pandey, AK",2024,IEEE ACCESS,,,10.1109/ACCESS.2024.3431282
WOS:001095748700001,Fluent but Not Factual: A Comparative Analysis of ChatGPT and Other AI,"Lozic, E",2023,FUTURE INTERNET,,,10.3390/fi15100336
WOS:001132966400006,AI in tertiary education: progress on research and practice,"Thompson, K",2023,AUSTRALASIAN JOURNAL OF EDUCATIONAL TECHNOLOGY,,,10.14742/ajet.9251
WOS:001530466600020,Unleashing the power of text for credit default prediction: Comparing,"Wu, ZX",2025,EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,,,10.1016/j.ejor.2025.04.032
WOS:001451451800001,"Explainable AI, LLM, and digitized archival cultural heritage: a case","Toth, GM",2025,AI & SOCIETY,,,10.1007/s00146-025-02238-5
WOS:001532162700008,Intelligent Extraction of Intangible Cultural Heritage Visual Elements,"Zhang, ZW",2025,INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGIES AND SYSTEMS APPROACH,,,10.4018/IJITSA.384915
WOS:001179470400001,Digital assemblages with AI for creative interpretation of short stories,"O'Halloran, K",2024,DIGITAL SCHOLARSHIP IN THE HUMANITIES,,,10.1093/llc/fqad050
WOS:001633989600001,Dynamic Transmission and Innovative Transformation of Cultural Heritage:,"Li, XY",2025,APPLIED SCIENCES-BASEL,,,10.3390/app152312651
WOS:001528182500001,Task-Technology Fit Leads to Conflict: The Double-Edged-Sword Effect of,"Qian, PB",2026,INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION,,,10.1080/10447318.2025.2526580
WOS:001405925700018,From ChatGPT to Sora: Analyzing Public Opinions and Attitudes on,"Feng, WY",2025,IEEE ACCESS,,,10.1109/ACCESS.2025.3530683
WOS:001560333300001,ChatGPT's interpretation of contested memoryscapes favours the voice of,"González-Cantera, T",2025,INTERNATIONAL JOURNAL OF HERITAGE STUDIES,,,10.1080/13527258.2025.2543736
WOS:001208742800006,PROMPTING CHANGE: CHATGPT'S IMPACT ON DIGITAL HUMANITIES PEDAGOGY - A,"Guo, QZ",2024,INTERNATIONAL JOURNAL OF HUMANITIES AND ARTS COMPUTING-A JOURNAL OF,,,10.3366/ijhac.2024.0321
WOS:001054545300001,Exhibiting the Heritage of COVID-19-A Conversation with ChatGPT,"Spennemann, DHR",2023,HERITAGE,,,10.3390/heritage6080302
WOS:001116391300001,Performing an Inductive Thematic Analysis of Semi-Structured Interviews,"De Paoli, S",2024,SOCIAL SCIENCE COMPUTER REVIEW,,,10.1177/08944393231220483
WOS:001528246400001,The construction of the role of AI in qualitative data analysis in the,"Paulus, T",2025,AI & SOCIETY,,,10.1007/s00146-025-02488-3
WOS:001615523800002,Students' Perceptions and Uses of ChatGPT: Implications for Teaching AI,"Havelka, S",2025,LIBRARY TRENDS,,,10.1353/lib.2025.a968489
WOS:001562898700001,Evaluation of large language models for the intangible cultural heritage,"Zhao, ZX",2025,NPJ HERITAGE SCIENCE,,,10.1038/s40494-025-02013-1
WOS:001351692700001,Comprehensive Characterization of Oxidative Stress-Modulating Chemicals,"Liang, WQ",2024,ENVIRONMENTAL SCIENCE & TECHNOLOGY,,,10.1021/acs.est.4c07390
WOS:001595533100001,Mapping the intersection of digital technologies and humanities: a,"Choemprayong, S",2026,DIGITAL SCHOLARSHIP IN THE HUMANITIES,,,10.1093/llc/fqaf117
WOS:001063259100001,Artificial intelligence in education: the challenges of ChatGPT,"Rodrigues, OS",2023,TEXTO LIVRE-LINGUAGEM E TECNOLOGIA,,,10.1590/1983-3652.2023.45997
WOS:001643518900001,ShadowTale: Exploring AI-Assisted Story Creation in Digital Shadow,"Liu, GH",2025,IEEE TRANSACTIONS ON COMPUTATIONAL SOCIAL SYSTEMS,,,10.1109/TCSS.2025.3635735
WOS:001559320900005,Development and Validation of the ICAP GenAI Scale to Measure How,"Zhang, JZ",2025,EUROPEAN JOURNAL OF EDUCATION,,,10.1111/ejed.70209
WOS:001643360600005,Developing Policy Guidelines for Generative AI Use in Higher Education:,"Spilbergs, A",2025,HIGHLIGHTS OF SUSTAINABILITY,,,10.54175/hsustain4040017
WOS:001455103800001,How Can (A)I Research This? An Autoethnographic Exploration of,"Panke, S",2025,JOURNAL OF TEACHER EDUCATION,,,10.1177/00224871251325065
WOS:000943994400001,Improving text mining in plant health domain with GAN and/or pre-trained,"Jiang, SF",2023,FRONTIERS IN ARTIFICIAL INTELLIGENCE,,,10.3389/frai.2023.1072329
WOS:001522367100001,Text mining in MOF research: from manual curation to large language,"Bae, S",2025,CHEMICAL COMMUNICATIONS,,,10.1039/d5cc02511g
WOS:001494677700001,Leveraging Internet-Sourced Text Data for Financial Analytics in Supply,"Wang, JX",2025,IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT,,,10.1109/TEM.2025.3567302
WOS:001625045000001,Assessment of large language models' performance in simulating students',"Du, JL",2026,EDUCATION AND INFORMATION TECHNOLOGIES,,,10.1007/s10639-025-13842-9
WOS:001476893200023,Integrating technology in social science research: emerging trends and,"Romaniuk, MW",2025,INTERNATIONAL JOURNAL OF ELECTRONICS AND TELECOMMUNICATIONS,,,10.24425/ijet.2025.153559
WOS:001464354200003,A Position Paper on AI and Copyrights in Cultural Heritage and Research,"Lehmann, J",2025,JOURNAL OF OPEN HUMANITIES DATA,,,10.5334/johd.290
WOS:001591552600004,Trends of generative AI applications in educational settings,"Tu, YF",2025,INTERNATIONAL JOURNAL OF MOBILE LEARNING AND ORGANISATION,,,10.1504/IJMLO.2025.149024
WOS:001592845400001,Decolonizing Archival Narratives: Exploring Digital Bias in the Catalogs,"Bloch, A",2025,JOURNAL OF AFRICAN HISTORY,,,10.1017/S0021853725100601
WOS:001548069400008,Working With AI to Persuade: Examining a Large Language Model's Ability,"Karinshak, E",2023,PROCEEDINGS OF THE ACM ON HUMAN COMPUTER INTERACTION,,,10.1145/3579592
WOS:001601930000001,Beyond Photorealism: An AIGC-Powered Framework for Stylized and Gamified,"Li, CL",2025,BUILDINGS,,,10.3390/buildings15203782
WOS:001565385800001,GLMTopic: A Hybrid Chinese Topic Model Leveraging Large Language Models,"Chen, WS",2025,CMC-COMPUTERS MATERIALS & CONTINUA,,,10.32604/cmc.2025.065916
WOS:001338083600001,PrecisionGAN: enhanced image-to-image translation for preserving,"Ahmed, M",2025,INTERNATIONAL JOURNAL ON DOCUMENT ANALYSIS AND RECOGNITION,,,10.1007/s10032-024-00505-7
WOS:001518680500001,Large language models and the problem of rhetorical debt,"Macarthur, M",2025,AI & SOCIETY,,,10.1007/s00146-025-02403-w
WOS:001670299300001,"Generative AI in Art Education: A Systematic Review of Research Trends,","Jiang, YH",2025,EDUCATION SCIENCES,,,10.3390/educsci16010047
WOS:001588418500014,Assessing a Literary RAG System with a Human-Evaluated Synthetic QA,"Torterolo-Orta, YA",2025,PROCESAMIENTO DEL LENGUAJE NATURAL,,,10.26342/2025-75-14
WOS:001376202800001,Digital Technology in Cultural Heritage: Construction and Evaluation,"Chen, DY",2024,APPLIED SCIENCES-BASEL,,,10.3390/app142310811
WOS:001007354200001,Deterioration of pre-war and rehabilitation of post-war urbanscapes,"Çiçek, S",2023,INTERNATIONAL JOURNAL OF ARCHITECTURAL COMPUTING,,,10.1177/14780771231181237
WOS:001580045600001,"Digital Archaeology Underwater: Ethical, Epistemic, and Climate","Demilio, C",2025,HERITAGE,,,10.3390/heritage8090383
WOS:001305600600001,A Comprehensive Analysis of the per- and poly-fluoroalkyl substances,"Kobayashi, Y",2024,JOURNAL OF HAZARDOUS MATERIALS LETTERS,,,10.1016/j.hazl.2024.100121
WOS:000513211500003,Cantonese porcelain classification and image synthesis by ensemble,"Chen, SSC",2019,FRONTIERS OF INFORMATION TECHNOLOGY & ELECTRONIC ENGINEERING,,,10.1631/FITEE.1900399
WOS:001462232200001,Uncovering new psychoactive substances research trends using large,"Kobayashi, Y",2025,JOURNAL OF HAZARDOUS MATERIALS ADVANCES,,,10.1016/j.hazadv.2025.100700
WOS:001645954000001,The Impacts of Large Language Model Addiction on University Students',"Elshaer, IA",2025,ALGORITHMS,,,10.3390/a18120789
WOS:000880072700003,Design of 3D Display System for Intangible Cultural Heritage Based on,"Wang, JC",2022,SCIENTIFIC PROGRAMMING,,,10.1155/2022/2944750
WOS:001453775200001,Ethical AI in Social Sciences Research: Are We Gatekeepers or,"Runcan, R",2025,SOCIETIES,,,10.3390/soc15030062
WOS:001434934100003,Machine-assisted quantitizing designs: augmenting humanities and social,"Karjus, A",2025,HUMANITIES & SOCIAL SCIENCES COMMUNICATIONS,,,10.1057/s41599-025-04503-w
WOS:001606019600014,Large Language Model Symptom Identification From Clinical Text:,"McMurry, AJ",2025,JOURNAL OF MEDICAL INTERNET RESEARCH,,,10.2196/72984
WOS:001419456700001,Constructing a Sustainable Evaluation Framework for AIGC Technology in,"Pan, SM",2025,SUSTAINABILITY,,,10.3390/su17030910
WOS:001420042200010,GPT is an effective tool for multilingual psychological text analysis,"Rathje, S",2024,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF,,,10.1073/pnas.2308950121
WOS:001432422000001,Expert-level policy style measurement via knowledge distillation with,"Zhang, YJ",2025,INFORMATION PROCESSING & MANAGEMENT,,,10.1016/j.ipm.2025.104090
WOS:001372815900001,Preserving linguistic and cultural heritage of the Tuvan ethnos in the,"Novikova, ML",2024,NOVYE ISSLEDOVANIYA TUVY-NEW RESEARCH OF TUVA,,,10.25178/nit.2024.4.12
WOS:001039258400001,"A Dataset of 10,000 Situations for Research in Computational Social","Neuman, Y",2023,SCIENTIFIC DATA,,,10.1038/s41597-023-02406-6
WOS:001573123800001,Reality as Imagined: Design and Evaluation of a TeleAbsence-Driven,"Li, YN",2025,INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION,,,10.1080/10447318.2025.2554296
WOS:001508994700014,Automating Research Synthesis with Domain-Specific Large Language Model,"Susnjak, T",2025,ACM TRANSACTIONS ON KNOWLEDGE DISCOVERY FROM DATA,,,10.1145/3715964
WOS:001417992000001,AI-based experts' knowledge visualization of cultural heritage: A case,"Li, SY",2025,JOURNAL OF CULTURAL HERITAGE,,,10.1016/j.culher.2025.01.006
WOS:001362968300002,ChatGPT-4 Omni Performance in USMLE Disciplines and Clinical Skills:,"Bicknell, BT",2024,JMIR MEDICAL EDUCATION,,,10.2196/63430
WOS:001332180300001,Ancient Painting Inpainting with Regional Attention-Style Transfer and,"Liu, XT",2024,APPLIED SCIENCES-BASEL,,,10.3390/app14198777
WOS:001319311900001,Identifying power relationships in conversations: the case of Pygmalion,"Neuman, Y",2024,DIGITAL SCHOLARSHIP IN THE HUMANITIES,,,10.1093/llc/fqae053
WOS:001302897500001,The promise and challenges of generative AI in education,"Giannakos, M",2025,BEHAVIOUR & INFORMATION TECHNOLOGY,,,10.1080/0144929X.2024.2394886
WOS:000940866500001,EA-GAN: restoration of text in ancient Chinese books based on an example,"Wenjun, Z",2023,HERITAGE SCIENCE,,,10.1186/s40494-023-00882-y
WOS:001432829600001,Survey on Latest Advances in Natural Language Processing Applications of,"Koç, C",2025,WILEY INTERDISCIPLINARY REVIEWS-DATA MINING AND KNOWLEDGE DISCOVERY,,,10.1002/widm.70004
WOS:001446517100015,From Words to Meaning: Interpreting the Topics of Historical Texts Using,"Kuznetsov, A",2025,ISTORIYA-ELEKTRONNYI NAUCHNO-OBRAZOVATELNYI ZHURNAL,,,10.18254/S207987840033837-9
WOS:001436644700001,The effectiveness of large language models with RAG for auto-annotating,"Kainer, D",2025,BIOLOGY METHODS & PROTOCOLS,,,10.1093/biomethods/bpaf016
WOS:001578143800001,Discursively negotiating AI: A social representation theory approach to,"Mangiò, F",2025,TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,,,10.1016/j.techfore.2025.124352
WOS:001343170700001,ChatGPT as a Digital Assistant for Archaeology: Insights from the Smart,"Ciccone, G",2024,HERITAGE,,,10.3390/heritage7100256
WOS:001587521000023,Multi-agent collaborative pathways for Chinese traditional architectural,"Lu, Y",2025,SCIENTIFIC REPORTS,,,10.1038/s41598-025-18130-7
