UT,TI,AU,AF,SO,PY,AB,DE,ID,CR,DI,C1,RP,TC,Z9,AR,BP,EA,EI,EP,IS,OI,PD,PM,PN,PT,RI,SI,SN,SU,VL,VR,include,reason_code,reason_detail,screener,screen_date,stage
WOS:001392437900002,How Can Generative Artificial Intelligence Techniques Facilitate,"Liu, JF","Liu, Jiangfeng",ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE,2024,,,,,10.1145/3690391,,,,,57,,,1556-4711,,4,"Wang, Lanyu/0000-0003-3984-8343; 裴, 雷/0000-0003-4754-4112",DEC,,,J,,,1556-4673,,17.0,1.0,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001392453400002,SikuGPT: A Generative Pre-trained Model for Intelligent Information,"Liu, C","Liu, Chang",ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE,2024,,,,,10.1145/3676969,,,,,53,,,1556-4711,,4,"Lin, Litao/0000-0001-8287-936X; Liu, Chang/0000-0001-9048-4552; zhao,",DEC,,,J,"; wu, mengcheng/LGY-6010-2024",,1556-4673,,17.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001517227100001,Leveraging generative AI through prompt engineering for corpus,"Liu, JF","Liu, Jiangfeng",DIGITAL SCHOLARSHIP IN THE HUMANITIES,2025,,,,,10.1093/llc/fqaf043,,,,,,846,JUN 2025,2055-768X,862,3,"裴, 雷/0000-0003-4754-4112; 杨, 春花/0009-0004-9826-8052",SEP,,,J,"; zhaoping, yan/AAT-8229-2020",,2055-7671,,40.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001075331300001,Discussing ChatGPT's implications for industry and higher education: The,"Dianova, VG","Dianova, Vera G.",INDUSTRY AND HIGHER EDUCATION,2023,,,,,10.1177/09504222231199989,,,,,,593,SEP 2023,2043-6858,600,5,"Dianova, Vera G/0000-0001-6856-4257; Schultz, Mario",OCT,,,J,"Dianova, Vera G/JNT-4131-2023",,0950-4222,,37.0,,False,E2,Excluded by E2 rule,董恒清,2026-05-25,initial
WOS:001483273300001,Generative AI Meets Open-Ended Survey Responses: Research Participant,"Zhang, S","Zhang, Simone",SOCIOLOGICAL METHODS & RESEARCH,2025,,,,,10.1177/00491241251327130,,,,,,1197,MAY 2025,1552-8294,1242,3,"Zhang, Simone/0000-0003-0158-1364; Xu, Janet/0000-0003-1610-5408;",AUG,,,J,"; Alvero, AJ/HZM-5593-2023",SI,0049-1241,,54.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001483281300001,Integrating Generative Artificial Intelligence into Social Science,"Davidson, T","Davidson, Thomas",SOCIOLOGICAL METHODS & RESEARCH,2025,,,,,10.1177/00491241251339184,,,,,,775,MAY 2025,1552-8294,793,3,"Davidson, Thomas/0000-0002-5947-7490",AUG,,,J,"Davidson, Thomas/AAF-8558-2019",SI,0049-1241,,54.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001419394400001,Artificial Intelligence-Driven Interactive Experience for Intangible,"Wang, YD","Wang, Yidan",SUSTAINABILITY,2025,,,,,10.3390/su17030898,,,,,898,,,2071-1050,,3,"Zhou, Yixuan/0009-0008-8066-8516;",FEB,,,J,"; WANG, YIDAN/PNH-8579-2026",,,,17.0,,False,E4,Excluded by E4 rule,董恒清,2026-05-25,initial
WOS:001590929100004,ACPAS: an expert-assistance system for authenticating ancient Chinese,"Chen, XJ","Chen, Xiaojiao",NPJ HERITAGE SCIENCE,2025,,,,,10.1038/s40494-025-02093-z,,,,,512,,,3059-3220,,1,"Li, Yueying/0009-0005-6090-5092",OCT 11,,,J,"Wang, Ruihan/ADS-9329-2022; WANG, YIFAN/AAW-1973-2021; Chen,",,,,13.0,,True,,,董恒清,2026-05-25,initial
WOS:001503653600001,The new narrative medicine: ethical implications of artificial,"Schwartz, D","Schwartz, David",MONASH BIOETHICS REVIEW,2025,,,,,10.1007/s40592-025-00256-z,,,,,,,JUN 2025,1836-6716,,,", David Lerner Schwartz/0009-0005-9309-2112;",2025 JUN 8,40483669.0,,J,"; Lanphier, Elizabeth/AAY-8566-2020",,1321-2753,,,,False,E4,Excluded by E4 rule,董恒清,2026-05-25,initial
WOS:001492587300001,Balancing Large Language Model Alignment and Algorithmic Fidelity in,"Lyman, A","Lyman, Alex",SOCIOLOGICAL METHODS & RESEARCH,2025,,,,,10.1177/00491241251342008,,,,,,1110,MAY 2025,1552-8294,1155,3,"Lyman, Alex/0009-0004-1210-2538; Hepner, Bryce/0000-0003-0062-5193;",AUG,,,J,"; Busby, Ethan/Z-4782-2019",SI,0049-1241,,54.0,,False,E2,Excluded by E2 rule,董恒清,2026-05-25,initial
